,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition
8370,8020,APARTMENT,APARTMENT,325000,2,105,1,0,0,1,24,1,,,,0,
8372,8430,HOUSE,COUNTRY_COTTAGE,175000,3,161,1,0,0,1,,0,,341,,0,GOOD
8374,1340,APARTMENT,GROUND_FLOOR,280000,1,79,0,0,0,1,29,0,,,3,0,
8376,4550,APARTMENT,APARTMENT,149000,1,63,1,0,0,1,,0,,,2,0,JUST_RENOVATED
8378,4020,HOUSE,HOUSE,109000,3,85,1,0,0,1,20,1,150,185,2,0,TO_BE_DONE_UP
8380,9300,APARTMENT,APARTMENT,300000,2,,1,0,0,1,,0,,,,0,AS_NEW
8382,1420,APARTMENT,APARTMENT,325000,3,145,1,0,0,1,11,0,,,,0,GOOD
8384,8434,HOUSE,HOUSE,289000,3,135,1,0,0,1,,1,,277,,0,AS_NEW
8386,8210,HOUSE,HOUSE,285000,3,,0,0,0,0,,0,,533,3,0,GOOD
8388,8770,APARTMENT,APARTMENT,249000,2,110,0,0,0,1,,0,,,,0,AS_NEW
8390,8000,APARTMENT,APARTMENT,249740,2,79,0,0,0,1,,1,,,,0,
8392,9000,APARTMENT,APARTMENT,260000,1,76,1,0,0,0,,0,,,,0,AS_NEW
8394,1200,APARTMENT,APARTMENT,235000,2,75,0,0,0,1,16,0,,,,0,
8396,1000,APARTMENT,FLAT_STUDIO,70000,1,,1,0,0,0,,0,,,,0,
8398,3740,HOUSE,HOUSE,415000,3,163,1,0,0,1,,1,,468,,0,AS_NEW
8400,2660,HOUSE,HOUSE,249950,4,123,1,0,0,0,,0,,90,2,0,TO_BE_DONE_UP
8402,2580,HOUSE,HOUSE,339000,4,250,1,0,0,0,,1,,969,3,0,GOOD
8404,7080,HOUSE,HOUSE,60000,2,141,0,0,0,0,,0,,150,2,0,TO_RENOVATE
8406,9031,HOUSE,HOUSE,395000,4,115,1,0,0,1,25,0,,190,4,0,AS_NEW
8408,8300,APARTMENT,APARTMENT,950000,2,83,0,0,0,0,,0,,,,0,AS_NEW
8410,8800,HOUSE,HOUSE,325000,6,339,0,0,0,1,,0,,180,,0,
8412,1420,HOUSE,HOUSE,415000,3,150,1,0,0,1,15,0,,166,2,0,GOOD
8414,3473,HOUSE,HOUSE,185000,3,,1,0,0,0,,0,,1107,4,0,
8416,8870,HOUSE,HOUSE,285000,5,150,1,0,0,1,47,0,,173,,0,GOOD
8418,8870,APARTMENT,APARTMENT,159000,2,92,0,0,0,0,,1,,,2,0,
8420,3600,HOUSE,HOUSE,180000,2,,0,0,0,0,,0,,296,3,0,
8422,1070,APARTMENT,FLAT_STUDIO,109000,0,35,1,0,0,1,8,0,,,4,0,TO_BE_DONE_UP
8424,1050,APARTMENT,PENTHOUSE,825000,3,170,1,0,0,1,5,0,,,4,0,
